Price,Close,High,Low,Open,Volume
Ticker,2317.TW,2317.TW,2317.TW,2317.TW,2317.TW
Date,,,,,
2024-01-02,98.78724670410156,98.78724670410156,97.84641578311012,98.31683124360585,19921105
2024-01-03,98.31683349609375,98.78724896736692,97.84641802482058,98.31683349609375,18957682
2024-01-04,97.84642028808594,98.78725125239446,97.84642028808594,98.3168357702402,15488559
2024-01-05,97.84642028808594,98.3168357702402,97.84642028808594,97.84642028808594,13349572
2024-01-08,95.49433898925781,97.84641630426417,95.49433898925781,97.3760008412629,34642006
2024-01-09,95.02392578125,96.4351722037438,95.02392578125,95.96475672957921,25228043
2024-01-10,94.08309173583984,95.49433811187744,94.08309173583984,95.02392265319824,22800432
2024-01-11,94.55351257324219,95.96475902955923,93.8008449253515,94.08309708780317,34453180
2024-01-12,94.55351257324219,95.49434354412021,94.08309708780317,94.08309708780317,29241441
2024-01-15,94.08309173583984,95.49433811187744,94.08309173583984,95.02392265319824,22480585
2024-01-16,94.08309173583984,94.55350719451904,93.42451296487707,93.89492842355627,25892269
2024-01-17,92.76593017578125,94.08309494054295,92.6718485164348,93.89493162185006,47592663
2024-01-18,93.989013671875,94.08309533161251,93.04818271855888,93.14226437829639,18106511
2024-01-19,94.55351257324219,95.02392805868121,94.08309708780317,94.08309708780317,16417094
2024-01-22,93.989013671875,95.02392628492863,93.989013671875,94.55351080827057,22982811
2024-01-23,95.02392578125,95.4943412554146,93.98901317368197,94.08309483292079,18993909
2024-01-24,94.55351257324219,95.49434354412021,94.55351257324219,95.02392805868121,13198166
2024-01-25,95.96475982666016,95.96475982666016,94.55351335862105,95.02392884796741,24228872
2024-01-26,96.43517303466797,97.37600399110376,95.96475755645008,95.96475755645008,25615989
2024-01-29,96.43517303466797,96.90558851288586,95.96475755645008,96.43517303466797,16386992
2024-01-30,95.96475982666016,96.9055908053529,95.96475982666016,96.43517531600654,17551728
2024-01-31,96.43517303466797,96.43517303466797,95.49434207823218,95.96475755645008,18545562
2024-02-01,96.90558624267578,96.90558624267578,95.96475530828087,96.43517077547833,14397907
2024-02-02,95.96475982666016,96.9055908053529,95.49434433731379,96.43517531600654,16516773
2024-02-05,95.49433898925781,95.96475445225909,95.02392352625654,95.49433898925781,17438135
2024-02-15,95.02392578125,95.96475672957921,95.02392578125,95.4943412554146,27953440
2024-02-16,95.49433898925781,95.49433898925781,94.55350806325528,95.02392352625654,32615887
2024-02-19,96.90558624267578,96.90558624267578,95.02392437388596,95.49433984108342,24938217
2024-02-20,97.3759994506836,98.31683036325059,96.9055839944001,97.3759994506836,39410270
2024-02-21,96.90558624267578,97.84641717707069,96.90558624267578,97.37600170987324,18479374
2024-02-22,97.3759994506836,97.84641490696708,96.9055839944001,97.3759994506836,19601423
2024-02-23,96.90558624267578,97.84641717707069,96.90558624267578,97.37600170987324,17252304
2024-02-26,97.3759994506836,97.84641490696708,96.9055839944001,96.9055839944001,19894677
2024-02-27,97.3759994506836,98.31683036325059,96.9055839944001,97.84641490696708,28688693
2024-02-29,96.90558624267578,97.37600170987324,96.90558624267578,96.90558624267578,38390662
2024-03-01,95.96475982666016,97.37600629469928,95.96475982666016,96.9055908053529,28121335
2024-03-04,100.19849395751953,100.66890942210883,96.43517024080518,96.43517024080518,106351735
2024-03-05,100.19849395751953,102.08015581587671,100.19849395751953,100.66890942210883,75461014
2024-03-06,100.19849395751953,101.13932488669812,99.25766302834094,99.72807849293024,40347458
2024-03-07,101.13932800292969,102.08015896109647,100.66891252384629,101.60974348201307,47505374
2024-03-08,98.78724670410156,102.08015492757161,98.31683124360585,101.13932400658018,68582080
2024-03-11,103.02098846435547,104.9026503541154,98.78724921239566,98.78724921239566,139480002
2024-03-12,111.9588851928711,111.9588851928711,104.9026529328162,104.9026529328162,347034486
2024-03-13,113.37013244628906,116.19262537026306,111.01805500964406,114.31096342094706,338406505
2024-03-14,113.84054565429688,114.3109611322072,110.07722183101434,113.84054565429688,191622484
2024-03-15,124.18968200683594,125.13051293113016,119.48552738536488,120.4263583096591,403022484
2024-03-18,127.95301055908203,128.8938415190753,123.71927123911242,125.13051767910228,239249130
2024-03-19,127.95301055908203,127.95301055908203,122.30802479912253,125.13051767910228,171242442
2024-03-20,129.8346710205078,133.5979948182037,127.48259364694788,128.42342459637186,204806549
2024-03-21,134.0684051513672,136.4204824347245,130.77549695466695,132.6571587813528,183957559
2024-03-22,136.89089965820312,139.71339243466093,133.59799141900237,135.47965326997422,236266998
2024-03-25,136.89089965820312,138.772561509175,134.5388223444883,138.30214604643203,145490405
2024-03-26,133.59799194335938,138.30214658925232,130.7754991558236,137.36131566007373,180436950
